tegund,atferli,fjarlaegd,par,kyn,latneskt,ath
spói,s,0-25,,,Numenius phaeopus,
spói,s,0-25,,,Numenius phaeopus,
spói,s,25-50,,,Numenius phaeopus,
spói,æ,0-25,,,Numenius phaeopus,
spói,æ,0-25,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,s,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,s,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
jaðrakan,f,25-50,,1,Limosa limosa,
jaðrakan,f,25-50,,1,Limosa limosa,
jaðrakan,s,25-50,,,Limosa limosa,
jaðrakan,,0-25,,1,Limosa limosa,
jaðrakan,,0-25,,1,Limosa limosa,
jaðrakan,æ,0-25,,1,Limosa limosa,
jaðrakan,s,25-50,,,Limosa limosa,
jaðrakan,s,25-50,,,Limosa limosa,
jaðrakan,æ,25-50,,,Limosa limosa,
jaðrakan,æ,50-100,1,,Limosa limosa,
jaðrakan,æ,50-100,1,,Limosa limosa,
jaðrakan,s,50-100,,,Limosa limosa,
jaðrakan,s,50-100,,,Limosa limosa,
jaðrakan,s,50-100,,,Limosa limosa,
jaðrakan,s,50-100,,,Limosa limosa,
jaðrakan,s,50-100,,,Limosa limosa,
þúfutittlingur,s,0-25,,,Anthus pratensis,
þúfutittlingur,æ,0-25,,,Anthus pratensis,flaug af hreiðri
þúfutittlingur,s,0-25,,,Anthus pratensis,
þúfutittlingur,s,25-50,,,Anthus pratensis,
þúfutittlingur,æ,25-50,,,Anthus pratensis,
þúfutittlingur,æ,25-50,,,Anthus pratensis,
þúfutittlingur,æ,25-50,,,Anthus pratensis,
þúfutittlingur,,25-50,,,Anthus pratensis,
þúfutittlingur,,25-50,,,Anthus pratensis,
þúfutittlingur,s,25-50,,,Anthus pratensis,
þúfutittlingur,s,50-100,,,Anthus pratensis,
þúfutittlingur,s,50-100,,,Anthus pratensis,
óðinshani,,0-25,,,Phalaropus lobatus,
óðinshani,s,0-25,,2,Phalaropus lobatus,
óðinshani,æ,0-25,,2,Phalaropus lobatus,
óðinshani,æ,25-50,,2,Phalaropus lobatus,
óðinshani,æ,25-50,,2,Phalaropus lobatus,
óðinshani,æ,25-50,,2,Phalaropus lobatus,
lóuþræll,,0-25,,,Calidris alpina,
lóuþræll,s,0-25,,,Calidris alpina,
lóuþræll,æ,25-50,,,Calidris alpina,
lóuþræll,s,25-50,,,Calidris alpina,
lóuþræll,s,50-100,,,Calidris alpina,
lóuþræll,a,50-100,,,Calidris alpina,
lóuþræll,a,50-100,,,Calidris alpina,
lóuþræll,a,50-100,,,Calidris alpina,
lóuþræll,s,50-100,,,Calidris alpina,
lóa,f,0-25,,,Pluvialis apricaria,
lóa,æ,25-50,,,Pluvialis apricaria,
lóa,s,50-100,,,Pluvialis apricaria,
lóa,æ,50-100,,,Pluvialis apricaria,
lóa,bí,50-100,,,Pluvialis apricaria,
lóa,bí,50-100,,,Pluvialis apricaria,
lóa,,100+,,1,Pluvialis apricaria,
kjói,æ,0-25,1,,Stercorarius parasiticus,
kjói,æ,0-25,1,,Stercorarius parasiticus,
kjói,æ,0-25,1,,Stercorarius parasiticus,
kjói,æ,0-25,1,,Stercorarius parasiticus,
kjói,æ,25-50,1,,Stercorarius parasiticus,
kjói,æ,25-50,1,,Stercorarius parasiticus,
kjói,æ,25-50,1,,Stercorarius parasiticus,vængbrotsatferli
kjói,æ,25-50,1,,Stercorarius parasiticus,vængbrotsatferli
kjói,a,50-100,1,,Stercorarius parasiticus,
kjói,a,50-100,1,,Stercorarius parasiticus,
kjói,æ,50-100,1,,Stercorarius parasiticus,
kjói,æ,50-100,1,,Stercorarius parasiticus,
stelkur,f,0-25,,,Tringa totanus,
rjúpa,,25-50,,1,Lagopus muta,
rjúpa,,50-100,,1,Lagopus muta,
rjúpa,,100+,,1,Lagopus muta,
