tegund,atferli,fjarlaegd,par,kyn,latneskt,ath
spói,æ,0-25,,,Numenius phaeopus,
spói,æ,0-25,,,Numenius phaeopus,
spói,s,0-25,,,Numenius phaeopus,
spói,s,25-50,,,Numenius phaeopus,
spói,s,25-50,,,Numenius phaeopus,
spói,,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,s,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,æ,25-50,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,,50-100,,,Numenius phaeopus,
spói,,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,æ,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,s,50-100,,,Numenius phaeopus,
spói,æ,100+,,,Numenius phaeopus,
jaðrakan,æ,0-25,,,Limosa limosa,
jaðrakan,æ,0-25,1,,Limosa limosa,
jaðrakan,æ,0-25,1,,Limosa limosa,
jaðrakan,f,0-25,,,Limosa limosa,flaug yfir
jaðrakan,s,25-50,,,Limosa limosa,
jaðrakan,,25-50,,,Limosa limosa,
jaðrakan,s,50-100,,,Limosa limosa,
jaðrakan,s,50-100,,,Limosa limosa,
jaðrakan,f,100+,,,Limosa limosa,flaug yfir
hrossagaukur,,0-25,,,Gallinago gallinago,
hrossagaukur,,0-25,,,Gallinago gallinago,
hrossagaukur,s,25-50,,,Gallinago gallinago,
hrossagaukur,s,25-50,,,Gallinago gallinago,
hrossagaukur,s,25-50,,,Gallinago gallinago,
hrossagaukur,s,25-50,,,Gallinago gallinago,
hrossagaukur,s,50-100,,,Gallinago gallinago,
hrossagaukur,s,50-100,,,Gallinago gallinago,
hrossagaukur,,50-100,,,Gallinago gallinago,
hrossagaukur,s,50-100,,,Gallinago gallinago,
þúfutittlingur,æ,0-25,,,Anthus pratensis,flaug líklega af hreiðri
óðinshani,s,0-25,,,Phalaropus lobatus,
óðinshani,,0-25,,,Phalaropus lobatus,
óðinshani,æ,0-25,1,,Phalaropus lobatus,
óðinshani,æ,0-25,1,,Phalaropus lobatus,
óðinshani,a,0-25,1,,Phalaropus lobatus,eðla sig
óðinshani,a,0-25,1,,Phalaropus lobatus,eðla sig
óðinshani,,0-25,1,,Phalaropus lobatus,
óðinshani,,0-25,1,,Phalaropus lobatus,
óðinshani,a,0-25,,1,Phalaropus lobatus,
óðinshani,a,0-25,,1,Phalaropus lobatus,
óðinshani,,0-25,,1,Phalaropus lobatus,
óðinshani,,0-25,,2,Phalaropus lobatus,
óðinshani,,0-25,,2,Phalaropus lobatus,
óðinshani,,0-25,,2,Phalaropus lobatus,
óðinshani,,0-25,,2,Phalaropus lobatus,
óðinshani,,0-25,,2,Phalaropus lobatus,
óðinshani,,0-25,,2,Phalaropus lobatus,
óðinshani,,0-25,,2,Phalaropus lobatus,
óðinshani,,0-25,,2,Phalaropus lobatus,
óðinshani,,0-25,,2,Phalaropus lobatus,
óðinshani,æ,0-25,,,Phalaropus lobatus,
óðinshani,æ,25-50,,,Phalaropus lobatus,
óðinshani,,50-100,,,Phalaropus lobatus,
lóuþræll,,0-25,,,Calidris alpina,
lóuþræll,,0-25,,,Calidris alpina,
lóuþræll,f,0-25,,,Calidris alpina,flaug að
lóuþræll,æ,0-25,,,Calidris alpina,
lóuþræll,æ,0-25,,,Calidris alpina,
lóuþræll,,0-25,,,Calidris alpina,
lóuþræll,æ,0-25,,,Calidris alpina,
lóuþræll,s,25-50,,,Calidris alpina,
lóuþræll,s,25-50,,,Calidris alpina,
lóuþræll,s,25-50,,,Calidris alpina,
lóuþræll,s,25-50,,,Calidris alpina,
lóuþræll,s,25-50,,,Calidris alpina,
lóuþræll,s,25-50,,,Calidris alpina,
lóuþræll,s,50-100,,,Calidris alpina,
lóuþræll,s,50-100,,,Calidris alpina,
lóuþræll,s,50-100,,,Calidris alpina,
lóuþræll,s,50-100,,,Calidris alpina,
lóuþræll,,50-100,,,Calidris alpina,
lóa,æ,0-25,1,,Pluvialis apricaria,
lóa,æ,0-25,1,,Pluvialis apricaria,
lóa,æ,0-25,1,,Pluvialis apricaria,
lóa,æ,0-25,1,,Pluvialis apricaria,
lóa,æ,0-25,1,,Pluvialis apricaria,
lóa,æ,0-25,1,,Pluvialis apricaria,
lóa,s,0-25,,,Pluvialis apricaria,
lóa,s,0-25,,,Pluvialis apricaria,
lóa,s,0-25,,,Pluvialis apricaria,
lóa,s,25-50,,,Pluvialis apricaria,
lóa,,25-50,1,,Pluvialis apricaria,
lóa,,25-50,1,,Pluvialis apricaria,
kjói,æ,50-100,1,,Stercorarius parasiticus,
kjói,æ,50-100,1,,Stercorarius parasiticus,
stelkur,æ,0-25,,,Tringa totanus,
stelkur,æ,50-100,,,Tringa totanus,
stelkur,s,50-100,,,Tringa totanus,
rjúpa,,50-100,,1,Lagopus muta,
rjúpa,,100+,,1,Lagopus muta,
